V4_1,Data Marking,calendar-years,Time,mmm,Month,administrative-geography,Geography,property-type,PropertyType,build-status,BuildStatus,house-sales-and-prices,HouseSalesAndPrices
98000.0,,2019,2019,dec,December,E08000004,Oldham,all,All,all,All,lower-quartile,Lower quartile price
75000.0,,2019,2019,dec,December,E08000004,Oldham,all,All,all,All,tenth-percentile,Tenth percentile price
79000.0,,2020,2020,dec,December,E08000004,Oldham,all,All,all,All,tenth-percentile,Tenth percentile price
95000.0,,2021,2021,dec,December,E08000004,Oldham,all,All,all,All,tenth-percentile,Tenth percentile price
,.,2022,2022,dec,December,E08000004,Oldham,all,All,all,All,median,Median price
,.,2022,2022,dec,December,E08000004,Oldham,all,All,all,All,lower-quartile,Lower quartile price
70000.0,,2018,2018,dec,December,E08000004,Oldham,all,All,all,All,tenth-percentile,Tenth percentile price
,.,2022,2022,dec,December,E08000004,Oldham,all,All,all,All,tenth-percentile,Tenth percentile price
,.,2022,2022,dec,December,E08000004,Oldham,all,All,all,All,sales,Count of sales
,.,2022,2022,dec,December,E08000004,Oldham,all,All,all,All,mean,Mean price
6706.0,,2017,2017,dec,December,E08000003,Manchester,all,All,all,All,sales,Count of sales
5470.0,,2021,2021,dec,December,E08000003,Manchester,all,All,all,All,sales,Count of sales
6236.0,,2018,2018,dec,December,E08000003,Manchester,all,All,all,All,sales,Count of sales
5225.0,,2020,2020,dec,December,E08000003,Manchester,all,All,all,All,sales,Count of sales
173000.0,,2018,2018,dec,December,E08000003,Manchester,all,All,all,All,median,Median price
181000.0,,2019,2019,dec,December,E08000003,Manchester,all,All,all,All,median,Median price
5691.0,,2019,2019,dec,December,E08000003,Manchester,all,All,all,All,sales,Count of sales
205995.0,,2020,2020,dec,December,E08000003,Manchester,all,All,all,All,median,Median price
163997.5,,2017,2017,dec,December,E08000003,Manchester,all,All,all,All,median,Median price
204683.79426,,2018,2018,dec,December,E08000003,Manchester,all,All,all,All,mean,Mean price
216000.0,,2021,2021,dec,December,E08000003,Manchester,all,All,all,All,median,Median price
132000.0,,2018,2018,dec,December,E08000003,Manchester,all,All,all,All,lower-quartile,Lower quartile price
254656.45009,,2021,2021,dec,December,E08000003,Manchester,all,All,all,All,mean,Mean price
193356.92842,,2017,2017,dec,December,E08000003,Manchester,all,All,all,All,mean,Mean price
155000.0,,2020,2020,dec,December,E08000003,Manchester,all,All,all,All,lower-quartile,Lower quartile price
213075.75365,,2019,2019,dec,December,E08000003,Manchester,all,All,all,All,mean,Mean price
